DATA;DIA DA SEMANA;JOGOS ESPERADOS (TEORIA);JOGOS NA BD (REALIDADE);ESTADO AUDITORIA;OBSERVACOES OBRIGATORIAS
16/07/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/07/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/07/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
19/07/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
20/07/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
21/07/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
22/07/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
23/07/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/07/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/07/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
26/07/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
27/07/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
28/07/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
29/07/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
30/07/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
31/07/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/08/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
02/08/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
03/08/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/08/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
05/08/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
06/08/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
07/08/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/08/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
09/08/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
10/08/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/08/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
12/08/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
13/08/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
14/08/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/08/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
16/08/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
17/08/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/08/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
19/08/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
20/08/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
21/08/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/08/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
23/08/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
24/08/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/08/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
26/08/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
27/08/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
28/08/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/08/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
30/08/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
31/08/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/09/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
02/09/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
03/09/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/09/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/09/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
06/09/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
07/09/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/09/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
09/09/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
10/09/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/09/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/09/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
13/09/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
14/09/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/09/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
16/09/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
17/09/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/09/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/09/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
20/09/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
21/09/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/09/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
23/09/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
24/09/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/09/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/09/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
27/09/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
28/09/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/09/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
30/09/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
01/10/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/10/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
03/10/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
04/10/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
05/10/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/10/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
07/10/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
08/10/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/10/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
10/10/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
11/10/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
12/10/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/10/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
14/10/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
15/10/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/10/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/10/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
18/10/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
19/10/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/10/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
21/10/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
22/10/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/10/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/10/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
25/10/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
26/10/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/10/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
28/10/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
29/10/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/10/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
31/10/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
01/11/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
02/11/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
03/11/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
04/11/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
05/11/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/11/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
07/11/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
08/11/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
09/11/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
10/11/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
11/11/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
12/11/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/11/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
14/11/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
15/11/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
16/11/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/11/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
18/11/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
19/11/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/11/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
21/11/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
22/11/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
23/11/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/11/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
25/11/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
26/11/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/11/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
28/11/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
29/11/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
30/11/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/12/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
02/12/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
03/12/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/12/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/12/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
06/12/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
07/12/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/12/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
09/12/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
10/12/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/12/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/12/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
13/12/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
14/12/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/12/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
16/12/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
17/12/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/12/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/12/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
20/12/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
21/12/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/12/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
23/12/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
24/12/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/12/2017;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/12/2017;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
27/12/2017;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
28/12/2017;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/12/2017;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
30/12/2017;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
31/12/2017;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/01/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/01/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
03/01/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
04/01/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/01/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
06/01/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
07/01/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/01/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/01/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
10/01/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
11/01/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/01/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
13/01/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
14/01/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/01/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/01/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
17/01/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
18/01/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/01/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
20/01/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
21/01/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/01/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/01/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
24/01/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
25/01/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/01/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
27/01/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
28/01/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/01/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/01/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
31/01/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
01/02/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/02/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
03/02/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
04/02/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/02/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/02/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
07/02/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
08/02/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/02/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
10/02/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
11/02/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/02/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/02/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
14/02/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
15/02/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/02/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
17/02/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
18/02/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/02/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/02/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
21/02/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
22/02/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/02/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
24/02/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
25/02/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/02/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/02/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
28/02/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
01/03/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/03/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
03/03/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
04/03/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/03/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/03/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
07/03/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
08/03/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/03/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
10/03/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
11/03/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/03/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/03/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
14/03/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
15/03/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/03/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
17/03/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
18/03/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/03/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/03/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
21/03/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
22/03/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/03/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
24/03/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
25/03/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/03/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/03/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
28/03/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
29/03/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/03/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
31/03/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
01/04/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/04/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
03/04/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
04/04/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
05/04/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/04/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
07/04/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
08/04/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/04/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
10/04/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
11/04/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
12/04/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/04/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
14/04/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
15/04/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/04/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/04/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
18/04/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
19/04/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/04/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
21/04/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
22/04/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/04/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/04/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
25/04/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
26/04/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/04/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
28/04/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
29/04/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/04/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/05/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
02/05/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
03/05/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/05/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
05/05/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
06/05/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
07/05/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/05/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
09/05/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
10/05/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/05/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
12/05/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
13/05/2018;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
14/05/2018;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/05/2018;TER;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
16/05/2018;QUA;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
17/05/2018;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/05/2018;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
19/05/2018;SAB;TOTOLOTO;TOTOLOTO;TUDO PRESENTE E BEM DATADO;
